Method,# Params,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,Average
fft,124.64717000000005,59.29,87.26/87.07,88.89/92.05,92.53,90.61/87.75,67.63,93.27,90.18/90.07,51.17,80.12
lora,0.96077,51.46,86.53/86.69,76.65/84.74,91.84,88.90/85.36,59.93,93.32,87.13/86.98,55.99,77.35
dora,0.979202,52.87,86.51/86.58,76.59/84.58,91.79,88.90/85.38,60.20,93.26,86.93/86.76,55.99,77.48
mrlora,1.2926479999999998,54.31,86.68/86.92,81.31/87.23,92.22,89.23/85.78,62.55,93.89,87.35/87.24,56.34,78.47
mrlora-rs,1.2926479999999998,51.75,73.98/73.96,86.15/90.18,71.53,82.88/64.54,58.03,94.24,74.94/74.41,56.34,70.56
olora,0.96077,48.73,86.33/86.19,79.47/86.38,91.98,88.84/85.34,63.72,93.89,87.50/87.45,55.99,77.76
rslora,0.96077,52.61,74.04/73.85,82.29/87.86,91.60,89.40/86.03,61.37,93.52,87.96/87.96,56.34,76.81
