Method,# Params,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,Average
fft,124.64717000000005,59.29,87.26/87.07,88.89/92.05,92.53,90.61/87.75,67.63,93.27,90.18/90.07,51.17,80.12
lora,0.8071699999999999,39.89,79.75/80.53,71.20/82.34,87.53,86.36/81.74,55.05,91.19,71.96/71.07,53.76,71.37
dora,0.8163859999999998,39.83,79.81/80.56,71.12/82.30,87.30,86.44/81.90,55.11,91.10,71.88/70.98,53.76,71.34
mrlora,0.9992672000000001,45.18,82.02/82.48,71.04/82.19,88.45,87.97/83.73,57.76,91.86,83.86/83.46,49.06,73.75
mrlora-rs,0.9992672000000001,48.86,82.79/83.04,76.47/85.07,89.23,88.62/84.63,60.35,91.61,85.56/85.28,54.46,75.81
olora,0.80717,36.60,79.93/80.56,70.67/82.12,87.48,86.62/82.13,56.26,90.76,82.31/81.94,54.46,72.41
rslora,0.804887942857143,41.90,80.66/81.39,70.59/82.09,88.32,86.88/82.10,55.90,91.58,81.52/80.96,56.34,73.32
