Method,# Params,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,Average
fft,184.423682,65.79,89.32/89.58,89.22/92.24,93.71,92.23/89.66,79.78,95.68,90.36/90.30,55.40,83.54
lora,0.2142959428571429,44.75,85.51/85.56,68.38/81.22,90.17,88.07/83.26,52.71,93.51,76.41/77.71,52.11,73.44
dora,0.22351194285714288,44.63,85.52/85.64,68.38/81.22,90.15,88.09/83.28,52.71,93.58,74.93/77.33,52.11,73.39
mrlora,0.4086752,56.02,87.17/86.67,70.14/81.96,91.34,89.82/86.30,52.71,93.78,83.23/83.93,54.23,76.38
mrlora-rs,0.4086752,56.68,87.46/87.17,77.45/85.54,91.93,90.37/87.03,60.95,94.22,85.40/85.82,54.23,78.21
olora,0.2142959428571429,47.91,85.79/85.82,68.38/81.22,90.26,88.58/84.23,53.31,93.46,80.48/81.97,52.11,74.47
rslora,0.2142959428571429,50.93,85.93/86.00,69.04/81.51,91.04,88.22/83.30,55.54,93.51,71.40/72.81,52.11,74.08
