variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,sst2,bert,123,lora,lora,0,eval_accuracy,0.9162844036697247,109.483778,1118.4653,1786.941952,1786.941952,9246.343168,9246.343168,180.647,2.824,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_sst2_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,bert,2024,lora,lora,0,eval_accuracy,0.9254587155963303,109.483778,677.4319,1809.537024,1809.537024,3961.520128,3961.520128,298.254,4.663,1.3298685211312128e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/fft/task_sst2_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,bert,42,lora,lora,0,eval_accuracy,0.9174311926605505,109.483778,571.0864,1787.739648,1787.739648,9248.44032,9248.44032,353.794,5.532,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_sst2_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,bert,123,lora,lora,0,eval_pearson,0.8843396195124856,109.483009,59.9594,1793.332224,1793.332224,9233.760256,9233.760256,287.644,4.503,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_stsb_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,bert,2024,lora,lora,0,eval_pearson,0.8794821446902962,109.483009,105.3725,1799.69024,1799.69024,9229.565952,9229.565952,163.677,2.562,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_stsb_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,bert,42,lora,lora,0,eval_pearson,0.882600232339511,109.483009,70.0486,1793.9425280000003,1793.942528,9254.731776,9254.731776,246.215,3.854,4546518161817600.0,8,16,0.05,,bert,results/fft/task_stsb_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,bert,123,lora,lora,0,eval_accuracy,0.4225352112676056,109.483778,11.6665,1794.37312,1794.37312,9233.760256,9233.760256,163.288,2.571,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_wnli_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,bert,2024,lora,lora,0,eval_accuracy,0.5633802816901409,109.483778,17.0218,1793.677312,1793.677312,9237.95456,9237.95456,111.915,1.762,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_wnli_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,bert,42,lora,lora,0,eval_accuracy,0.4647887323943662,109.483778,18.4573,1787.07968,1787.07968,9313.452032,9313.452032,103.211,1.625,505173214494720.0,8,16,0.05,,bert,results/fft/task_wnli_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,bert,123,adalora,adalora,1,eval_matthews_correlation,0.1315571677438866,0.813458,10.0465,299.631616,299.631616,1098.907648,1098.907648,2553.429,20.007,868103755923456.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_123/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,cola,bert,123,dora,dora,1,eval_matthews_correlation,0.3486127376789037,0.748802,11.336,297.787392,297.787392,1243.611136,1243.611136,2262.96,17.731,866825936044032.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_123/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,cola,bert,123,lora,lora,1,eval_matthews_correlation,0.35218682252361894,0.739586,9.0163,297.639936,297.639936,1073.741824,1073.741824,2845.187,22.293,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
