Variant,LoRA-only Score,LoRA-only Drop (%),KD-LoRA Score,KD-LoRA Drop (%)
rslora,0.7768557987713907,0.5426760129967951,0.7486597703167515,5.371794951957497
mrlora,0.7670633065332361,1.7963643740937305,0.7536123388424627,4.745806100216202
dora,0.7666302633697873,1.851804925963963,0.7440823827639903,5.950362126394797
lora,0.7653447372631523,2.0163850020650287,0.7437201353993635,5.996149036894223
olora,0.762421153865284,2.3906781226990987,0.7246969967347272,8.400613037214336
adalora,0.6520271934278622,16.52391611461124,0.700359081972748,11.476847770067614
