variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,sst2,deberta,123,lora,lora,0,eval_accuracy,0.9587155963302753,184.423682,1391.1022,3035.90144,3035.90144,7732.199424000001,7732.199424,145.242,2.271,1.3298923581997056e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_sst2_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,deberta,2024,lora,lora,0,eval_accuracy,0.9541284403669725,184.423682,1391.3589,3022.007808,3022.007808,8134.852608,8134.852608,145.216,2.27,1.3298923581997056e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_sst2_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,deberta,42,lora,lora,0,eval_accuracy,0.9575688073394495,184.423682,1390.7094,3037.474304,3037.474304,8126.464,8126.464,145.283,2.272,1.3298923581997056e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_sst2_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,deberta,123,lora,lora,0,eval_pearson,0.9023640739894111,184.422913,117.7908,3033.114624,3033.114624,8126.464,8126.464,146.421,2.292,1136649975103488.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_stsb_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,deberta,2024,lora,lora,0,eval_pearson,0.8951732218665092,184.422913,131.7243,3029.706752,3029.706752,7669.284864,7669.284864,130.933,2.05,1136649975103488.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_stsb_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,deberta,42,lora,lora,0,eval_pearson,0.9131411083656712,184.422913,126.1481,3023.334912,3023.334912,7736.393728,7736.393728,136.72,2.14,1136649975103488.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_stsb_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,deberta,123,lora,lora,0,eval_accuracy,0.5352112676056338,184.423682,26.412,3026.12224,3026.12224,8113.881087999999,8113.881088,72.126,1.136,126295568547840.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_wnli_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,deberta,2024,lora,lora,0,eval_accuracy,0.5633802816901409,184.423682,24.8491,3021.997056,3021.997056,8508.145664,8508.145664,76.663,1.207,126295568547840.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_wnli_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,deberta,42,lora,lora,0,eval_accuracy,0.5633802816901409,184.423682,29.075,3020.747776,3020.747776,8130.658304,8130.658304,65.52,1.032,126295568547840.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_wnli_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,deberta,123,adalora,adalora,1,eval_matthews_correlation,0.0,0.222866,14.8348,589.326848,589.326848,2650.800128,2650.800128,1729.249,13.549,856464562323456.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/kd-lora/task_cola_deberta_123/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
