variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,rte,roberta,42,lora,lora,0,eval_accuracy,0.6245487364620939,124.64717,31.8942,2037.121024,2037.121024,9424.601088,9424.601088,234.212,3.668,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_rte_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,roberta,123,lora,lora,0,eval_accuracy,0.948394495412844,124.64717,1150.3943,2030.0672000000002,2030.0672,9502.195712,9502.195712,175.633,2.746,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_sst2_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,roberta,2024,lora,lora,0,eval_accuracy,0.9243119266055045,124.64717,713.611,2041.13664,2041.13664,4422.893568,4422.893568,283.133,4.427,1.3298685211312128e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/fft/task_sst2_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,roberta,42,lora,lora,0,eval_accuracy,0.9254587155963303,124.64717,559.8784,2024.247808,2024.247808,9403.629568,9403.629568,360.877,5.642,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_sst2_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,roberta,123,lora,lora,0,eval_pearson,0.9032834762884672,124.646401,58.1024,2037.62176,2037.62176,9470.738432,9470.738432,296.838,4.647,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_stsb_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,roberta,2024,lora,lora,0,eval_pearson,0.896603608706867,124.646401,107.4847,2037.177344,2037.177344,9472.835584,9472.835584,160.46,2.512,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_stsb_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,roberta,42,lora,lora,0,eval_pearson,0.9055665390359801,124.646401,66.6037,2035.895808,2035.895808,9495.904256,9495.904256,258.95,4.054,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_stsb_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,roberta,123,lora,lora,0,eval_accuracy,0.4084507042253521,124.64717,13.5217,2043.07456,2043.07456,9502.195712,9502.195712,140.885,2.219,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_wnli_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,roberta,2024,lora,lora,0,eval_accuracy,0.5633802816901409,124.64717,20.1703,2046.5945600000002,2046.59456,9500.09856,9500.09856,94.446,1.487,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_wnli_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,roberta,42,lora,lora,0,eval_accuracy,0.5633802816901409,124.64717,17.0466,2025.735168,2025.735168,9405.72672,9405.72672,111.752,1.76,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_wnli_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,roberta,123,adalora,adalora,1,eval_matthews_correlation,0.0,0.813458,10.5272,359.550976,359.550976,1191.182336,1191.182336,2436.833,19.093,868103755923456.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_123/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,cola,roberta,123,dora,dora,1,eval_matthews_correlation,0.3437158362945317,0.748802,11.5803,359.177216,359.177216,1342.17728,1342.17728,2215.224,17.357,866825936044032.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_123/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,cola,roberta,123,lora,lora,1,eval_matthews_correlation,0.3437158362945317,0.739586,9.617,357.5592960000001,357.559296,1189.085184,1189.085184,2667.476,20.901,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
