Model Family,Variant,KD-LoRA,LoRA-only
BERT,adalora,6.0,6.0
BERT,dora,3.0,3.0
BERT,lora,4.0,4.0
BERT,mrlora,1.0,2.0
BERT,olora,5.0,5.0
BERT,rslora,2.0,1.0
DeBERTa-v3,adalora,5.0,6.0
DeBERTa-v3,dora,6.0,4.0
DeBERTa-v3,lora,1.0,5.0
DeBERTa-v3,mrlora,2.0,3.0
DeBERTa-v3,olora,3.0,2.0
DeBERTa-v3,rslora,4.0,1.0
RoBERTa,adalora,6.0,6.0
RoBERTa,dora,4.0,3.0
RoBERTa,lora,5.0,4.0
RoBERTa,mrlora,3.0,1.0
RoBERTa,olora,2.0,2.0
RoBERTa,rslora,1.0,5.0
