Model Family,Strategy,Variant,Average Score,FFT Baseline
bert,LoRA-only,adalora,0.6517832857115825,0.7810946118688131
bert,LoRA-only,dora,0.7664301819274526,0.7810946118688131
bert,LoRA-only,lora,0.7653447372631523,0.7810946118688131
bert,LoRA-only,mrlora,0.7704515327347427,0.7810946118688131
bert,LoRA-only,mrlora-rs,0.7647871232674704,0.7810946118688131
bert,LoRA-only,olora,0.7630640050348882,0.7810946118688131
bert,LoRA-only,rslora,0.776418052932345,0.7810946118688131
bert,KD-LoRA,adalora,0.6555748492028419,0.7810946118688131
bert,KD-LoRA,dora,0.7180174070730075,0.7810946118688131
bert,KD-LoRA,lora,0.7183654216099388,0.7810946118688131
bert,KD-LoRA,mrlora,0.7322596117625793,0.7810946118688131
bert,KD-LoRA,mrlora-rs,0.7447856662895297,0.7810946118688131
bert,KD-LoRA,olora,0.7090155786236959,0.7810946118688131
bert,KD-LoRA,rslora,0.7253629355742923,0.7810946118688131
roberta,LoRA-only,adalora,0.6344715302065096,0.807909866841865
roberta,LoRA-only,dora,0.7804312670004321,0.807909866841865
roberta,LoRA-only,lora,0.7781512837989487,0.807909866841865
roberta,LoRA-only,mrlora,0.7911709592162532,0.807909866841865
roberta,LoRA-only,mrlora-rs,0.7826033217087598,0.807909866841865
roberta,LoRA-only,olora,0.7820529246779979,0.807909866841865
roberta,LoRA-only,rslora,0.7542542906892453,0.807909866841865
roberta,KD-LoRA,adalora,0.619358764264166,0.807909866841865
roberta,KD-LoRA,dora,0.7264694287034461,0.807909866841865
roberta,KD-LoRA,lora,0.7270142494789348,0.807909866841865
roberta,KD-LoRA,mrlora,0.7368763657129936,0.807909866841865
roberta,KD-LoRA,mrlora-rs,0.7549685300481024,0.807909866841865
roberta,KD-LoRA,olora,0.7228982645320339,0.807909866841865
roberta,KD-LoRA,rslora,0.73724235024541,0.807909866841865
deberta,LoRA-only,adalora,0.6334562824978704,0.8410698184466829
deberta,LoRA-only,dora,0.7661352872474321,0.8410698184466829
deberta,LoRA-only,lora,0.7892146941828132,0.8410698184466829
deberta,LoRA-only,mrlora,0.8045113688083461,0.8410698184466829
deberta,LoRA-only,mrlora-rs,0.8062656203962166,0.8410698184466829
deberta,LoRA-only,olora,0.8039290758128633,0.8410698184466829
deberta,LoRA-only,rslora,0.7824386761158926,0.8410698184466829
deberta,KD-LoRA,adalora,0.703117861888743,0.8410698184466829
deberta,KD-LoRA,dora,0.7401346533364278,0.8410698184466829
deberta,KD-LoRA,lora,0.7472685933743861,0.8410698184466829
deberta,KD-LoRA,mrlora,0.7647383693444305,0.8410698184466829
deberta,KD-LoRA,mrlora-rs,0.7752113237471709,0.8410698184466829
deberta,KD-LoRA,olora,0.7498264388548678,0.8410698184466829
deberta,KD-LoRA,rslora,0.7507306257618745,0.8410698184466829
