Task,adalora,dora,lora,mrlora,olora,rslora
mnli_m,0.0,0.0,0.0,0.0,0.0,0.0
mnli_mm,0.0,0.0,0.0,0.0,0.0,0.0
mrpc,0.0,0.0,0.0,0.0,0.0,0.0
qnli,0.0,0.0,0.0,0.0,0.0,0.0
qqp,0.0,0.0,0.0,0.0,0.0,0.0
rte,0.0,0.0,0.0,0.0,0.0,0.0
stsb,0.0,0.0,0.0,0.0,0.0,0.0
wnli,0.0,0.0,0.0,0.0,0.0,0.0
