training_variant,model_family,task,method,metric_name,mean_value
lora,roberta,rte,dora,eval_accuracy,60.1985559566787
lora,roberta,rte,mrlora-rs,eval_accuracy,58.03249097472924
lora,bert,qnli,rslora,eval_accuracy,90.536335346879
lora,bert,qnli,lora,eval_accuracy,90.06040637012632
lora,bert,qnli,olora,eval_accuracy,90.26176093721399
lora,bert,qnli,mrlora,eval_accuracy,90.26176093721399
lora,bert,qnli,dora,eval_accuracy,90.00091524803221
lora,bert,qnli,mrlora-rs,eval_accuracy,90.76514735493319
lora,roberta,wnli,olora,eval_accuracy,55.98591549295775
lora,roberta,wnli,rslora,eval_accuracy,56.33802816901409
lora,roberta,wnli,lora,eval_accuracy,55.98591549295775
lora,roberta,wnli,mrlora,eval_accuracy,56.33802816901409
lora,roberta,wnli,dora,eval_accuracy,55.98591549295775
lora,roberta,wnli,mrlora-rs,eval_accuracy,56.33802816901409
lora,bert,stsb,adalora,eval_pearson,53.408754416849426
lora,bert,stsb,adalora,eval_spearman,68.30806331773417
lora,bert,stsb,olora,eval_pearson,87.28080017309793
lora,bert,stsb,olora,eval_spearman,87.03833908195426
lora,bert,stsb,rslora,eval_pearson,87.93418580978403
lora,bert,stsb,rslora,eval_spearman,87.56379403640115
lora,bert,stsb,lora,eval_pearson,87.05108966082078
lora,bert,stsb,lora,eval_spearman,86.78484488933219
lora,bert,stsb,mrlora,eval_pearson,87.52050044214258
lora,bert,stsb,mrlora,eval_spearman,87.28758726635506
lora,bert,stsb,dora,eval_pearson,87.27276768332793
lora,bert,stsb,dora,eval_spearman,87.01986168762535
lora,bert,stsb,mrlora-rs,eval_pearson,88.39810124805703
lora,bert,stsb,mrlora-rs,eval_spearman,88.19095209980247
lora,deberta,qnli,olora,eval_accuracy,93.7580084202819
lora,deberta,qnli,rslora,eval_accuracy,94.13783635365183
lora,deberta,qnli,lora,eval_accuracy,93.76716090060407
lora,deberta,qnli,mrlora,eval_accuracy,94.01427786930257
lora,deberta,qnli,dora,eval_accuracy,93.74427969979864
lora,deberta,qnli,mrlora-rs,eval_accuracy,94.12868387332966
lora,roberta,qnli,rslora,eval_accuracy,91.6025993044115
lora,roberta,qnli,lora,eval_accuracy,91.84056379278786
lora,roberta,qnli,olora,eval_accuracy,91.97785099762035
lora,roberta,qnli,mrlora,eval_accuracy,92.22496796631887
lora,roberta,qnli,dora,eval_accuracy,91.78564891085483
lora,roberta,qnli,mrlora-rs,eval_accuracy,71.5312099578986
lora,deberta,mrpc,rslora,eval_accuracy,82.4142156862745
lora,deberta,mrpc,rslora,eval_f1,87.38001813944048
lora,deberta,mrpc,lora,eval_accuracy,76.71568627450979
lora,deberta,mrpc,lora,eval_f1,84.59452625924199
lora,deberta,mrpc,olora,eval_accuracy,80.51470588235294
lora,deberta,mrpc,olora,eval_f1,86.36616954474098
lora,deberta,mrpc,mrlora,eval_accuracy,78.125
lora,deberta,mrpc,mrlora,eval_f1,84.8408703567701
lora,deberta,mrpc,dora,eval_accuracy,77.45098039215685
lora,deberta,mrpc,dora,eval_f1,84.96126402272948
lora,deberta,mrpc,mrlora-rs,eval_accuracy,85.2328431372549
lora,deberta,mrpc,mrlora-rs,eval_f1,89.36673702703973
lora,roberta,sst2,olora,eval_accuracy,93.89334862385321
lora,roberta,sst2,rslora,eval_accuracy,93.52064220183487
lora,roberta,sst2,lora,eval_accuracy,93.31995412844036
lora,roberta,sst2,mrlora,eval_accuracy,93.8933486238532
lora,roberta,sst2,dora,eval_accuracy,93.2626146788991
lora,roberta,sst2,mrlora-rs,eval_accuracy,94.23738532110092
lora,roberta,stsb,adalora,eval_pearson,24.93880709489945
lora,roberta,stsb,adalora,eval_spearman,23.18969086415352
lora,roberta,stsb,olora,eval_pearson,87.49532174412343
lora,roberta,stsb,olora,eval_spearman,87.4474966107691
lora,roberta,stsb,rslora,eval_pearson,87.95902558007197
lora,roberta,stsb,rslora,eval_spearman,87.96072997615157
lora,roberta,stsb,lora,eval_pearson,87.13092429772101
lora,roberta,stsb,lora,eval_spearman,86.9771268598371
lora,roberta,stsb,mrlora,eval_pearson,87.35011344310868
lora,roberta,stsb,mrlora,eval_spearman,87.23837789008427
lora,roberta,stsb,dora,eval_pearson,86.93148662030032
lora,roberta,stsb,dora,eval_spearman,86.75532755128953
lora,roberta,stsb,mrlora-rs,eval_pearson,74.93510844068284
lora,roberta,stsb,mrlora-rs,eval_spearman,74.40747251045674
lora,roberta,qqp,adalora,eval_accuracy,86.63368785555281
lora,roberta,qqp,adalora,eval_f1,82.7259941183992
lora,bert,qqp,rslora,eval_accuracy,88.86594113282217
lora,bert,qqp,rslora,eval_f1,84.93179324211884
lora,bert,qqp,lora,eval_accuracy,88.32859262923571
lora,bert,qqp,lora,eval_f1,84.34700790868956
lora,bert,qqp,olora,eval_accuracy,88.39290131090775
lora,bert,qqp,olora,eval_f1,84.3530655037993
lora,bert,qqp,mrlora,eval_accuracy,88.7416522384368
lora,bert,qqp,mrlora,eval_f1,84.84920926612314
lora,bert,qqp,dora,eval_accuracy,88.3823893148652
lora,bert,qqp,dora,eval_f1,84.3847060014642
lora,bert,qqp,mrlora-rs,eval_accuracy,89.13739797180313
lora,bert,qqp,mrlora-rs,eval_f1,85.29850616141148
lora,deberta,wnli,olora,eval_accuracy,56.33802816901409
lora,deberta,wnli,rslora,eval_accuracy,56.33802816901409
lora,deberta,wnli,lora,eval_accuracy,56.33802816901409
lora,deberta,wnli,mrlora,eval_accuracy,56.33802816901409
lora,deberta,wnli,dora,eval_accuracy,56.33802816901409
lora,deberta,wnli,mrlora-rs,eval_accuracy,56.33802816901409
lora,bert,mnli,adalora,matched_accuracy,79.59246051961284
lora,bert,mnli,adalora,mismatched_accuracy,80.3193653376729
lora,deberta,rte,olora,eval_accuracy,59.92779783393502
lora,deberta,rte,rslora,eval_accuracy,63.71841155234657
lora,deberta,rte,lora,eval_accuracy,52.707581227436826
lora,deberta,rte,mrlora,eval_accuracy,60.74007220216606
lora,deberta,rte,dora,eval_accuracy,52.707581227436826
lora,deberta,rte,mrlora-rs,eval_accuracy,69.40433212996389
lora,roberta,mnli,rslora,matched_accuracy,74.04482934284259
lora,roberta,mnli,rslora,mismatched_accuracy,73.84814890154597
lora,roberta,mnli,lora,matched_accuracy,86.52827305145186
lora,roberta,mnli,lora,mismatched_accuracy,86.68633034987796
lora,roberta,mnli,olora,matched_accuracy,86.32959755476311
lora,roberta,mnli,olora,mismatched_accuracy,86.19304312449147
lora,roberta,mnli,mrlora,matched_accuracy,86.68364747834947
lora,roberta,mnli,mrlora,mismatched_accuracy,86.92280309194467
lora,roberta,mnli,dora,matched_accuracy,86.51044319918493
lora,roberta,mnli,dora,mismatched_accuracy,86.58207892595607
lora,roberta,mnli,mrlora-rs,matched_accuracy,73.98369842078452
lora,roberta,mnli,mrlora-rs,mismatched_accuracy,73.96257119609439
lora,bert,rte,rslora,eval_accuracy,60.379061371841146
lora,bert,rte,lora,eval_accuracy,58.75451263537905
lora,bert,rte,olora,eval_accuracy,57.761732851985556
lora,bert,rte,mrlora,eval_accuracy,59.47653429602888
lora,bert,rte,dora,eval_accuracy,59.205776173285194
lora,bert,rte,mrlora-rs,eval_accuracy,62.8158844765343
lora,deberta,qqp,adalora,eval_accuracy,88.85975760573831
lora,deberta,qqp,adalora,eval_f1,85.41356305460198
lora,deberta,stsb,adalora,eval_pearson,8.028198290442708
lora,deberta,stsb,adalora,eval_spearman,7.846185236475529
lora,deberta,stsb,olora,eval_pearson,86.35188818258482
lora,deberta,stsb,olora,eval_spearman,87.15613965936168
lora,deberta,stsb,rslora,eval_pearson,66.00630384216063
lora,deberta,stsb,rslora,eval_spearman,66.46327300243352
lora,deberta,stsb,lora,eval_pearson,82.75486250226352
lora,deberta,stsb,lora,eval_spearman,83.62938705201313
lora,deberta,stsb,mrlora,eval_pearson,84.39757242671041
lora,deberta,stsb,mrlora,eval_spearman,85.05243871750062
lora,deberta,stsb,dora,eval_pearson,64.45357579721059
lora,deberta,stsb,dora,eval_spearman,65.04962994095358
lora,deberta,stsb,mrlora-rs,eval_pearson,59.0317558955309
lora,deberta,stsb,mrlora-rs,eval_spearman,58.61509217399837
lora,roberta,mnli,adalora,matched_accuracy,84.77840040753948
lora,roberta,mnli,adalora,mismatched_accuracy,84.84540276647681
