Method,# Params,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,Average
fft,184.423682,65.79,89.32/89.58,89.22/92.24,93.71,92.23/89.66,79.78,95.68,90.36/90.30,55.40,83.54
lora,0.370178,62.69,90.15/90.07,76.72/84.59,93.77,90.43/87.30,52.71,95.04,82.75/83.63,56.34,78.47
dora,0.38427305882352936,62.57,90.20/90.08,77.45/84.96,93.74,90.53/87.43,52.71,95.22,64.45/65.05,56.34,76.47
mrlora,0.6933817647058824,63.14,90.24/90.15,78.12/84.84,94.01,90.77/87.75,60.74,95.49,84.40/85.05,56.34,79.73
mrlora-rs,0.6933817647058824,66.14,90.16/90.17,85.23/89.37,94.13,91.34/88.51,69.40,95.03,59.03/58.62,56.34,78.63
olora,0.3658410588235294,61.76,89.90/89.83,80.51/86.37,93.76,90.57/87.50,59.93,95.26,86.35/87.16,56.34,79.78
rslora,0.3658410588235294,62.76,90.13/90.14,82.41/87.38,94.14,91.00/88.07,63.72,95.22,66.01/66.46,56.34,78.25
