Method,# Params,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,Average
fft,109.48377799999999,56.19,83.28/83.60,85.70/90.08,90.67,91.00/88.07,62.09,91.97,88.21/87.78,48.36,77.61
lora,0.80717,39.05,77.36/78.66,71.57/82.62,86.18,85.89/80.45,56.56,88.83,82.88/82.64,50.00,71.52
dora,0.8163859999999998,40.33,77.59/78.66,71.61/82.64,86.28,85.91/80.50,56.62,88.81,82.73/82.48,49.77,71.67
mrlora,1.0038314999999998,43.51,79.84/80.36,71.69/82.70,86.69,87.62/83.24,56.50,90.62,83.39/83.17,53.76,73.34
mrlora-rs,1.0038314999999998,46.29,80.51/81.14,80.23/86.95,88.35,88.34/84.23,58.24,90.32,84.83/84.51,51.41,74.53
olora,0.80717,44.37,77.48/78.76,71.16/82.08,86.93,85.96/80.61,56.80,89.01,76.93/76.80,48.36,71.38
rslora,0.80717,44.80,78.32/79.04,71.65/82.04,86.97,86.24/80.93,57.28,89.29,82.89/82.73,49.53,72.43
