Method,Parameter Reduction,Memory Reduction,Inference Speedup
LoRA,99.5%,74.3%,3.7×
MR‑LoRA,99.4%,74.0%,3.3×
AdaLoRA,99.5%,74.2%,3.5×
DoRA,99.5%,74.3%,2.9×
OLoRA,99.5%,74.2%,4.0×
RS‑LoRA,99.5%,74.3%,4.5×
MR‑LoRA‑RS,99.4%,74.0%,2.4×
