method,memory_reduction_%,inference_speedup,n_memory,n_runtime
lora,74.25674593726178,3.730339910420653,3,3
mrlora,74.0417573934726,3.329246923622675,3,3
adalora,74.18438710599891,3.4609883056326702,3,3
dora,74.25211474189297,2.9299956215008267,3,3
olora,74.23429791803308,4.004475533411235,3,3
rslora,74.26071326187495,4.510542847718478,3,3
mrlora-rs,74.03203547457196,2.3776499471535932,3,3
